Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9323,-1.1733,,0.3589,0.1282,1.4193,0.3469,0.0525,1.5727
5,-0.9095,-0.9336,,0.3608,0.1309,1.4012,0.3590,0.1252,1.4179
10,-0.8950,-0.9106,,0.3631,0.1416,1.3997,0.3612,0.1339,1.4058
15,-0.8892,-0.8967,,0.3632,0.1424,1.3948,0.3625,0.1395,1.3987
20,-0.8793,-0.8892,,0.3648,0.1472,1.3912,0.3632,0.1424,1.3948
25,-0.8726,-0.8841,,0.3645,0.1479,1.3851,0.3635,0.1441,1.3917
30,-0.8726,-0.8797,,0.3645,0.1479,1.3851,0.3636,0.1457,1.3890
35,-0.8679,-0.8762,,0.3639,0.1515,1.3832,0.3637,0.1466,1.3865
40,-0.8647,-0.8721,,0.3637,0.1499,1.3783,0.3640,0.1484,1.3844
45,-0.8587,-0.8675,,0.3645,0.1563,1.3795,0.3641,0.1503,1.3820
50,-0.8546,-0.8628,,0.3654,0.1555,1.3754,0.3644,0.1523,1.3795
55,-0.8545,-0.8594,,0.3652,0.1539,1.3737,0.3647,0.1535,1.3777
60,-0.8497,-0.8567,,0.3658,0.1591,1.3746,0.3650,0.1547,1.3764
65,-0.8461,-0.8545,,0.3659,0.1588,1.3708,0.3653,0.1555,1.3753
70,-0.8461,-0.8530,,0.3659,0.1588,1.3708,0.3653,0.1565,1.3748
75,-0.8461,-0.8515,,0.3659,0.1588,1.3708,0.3655,0.1572,1.3742
80,-0.8456,-0.8503,,0.3657,0.1587,1.3700,0.3656,0.1576,1.3735
85,-0.8456,-0.8492,,0.3655,0.1603,1.3714,0.3656,0.1581,1.3730
90,-0.8443,-0.8481,,0.3657,0.1601,1.3700,0.3657,0.1587,1.3725
95,-0.8424,-0.8474,,0.3661,0.1590,1.3675,0.3658,0.1590,1.3722
100,-0.8415,-0.8465,,0.3660,0.1606,1.3681,0.3659,0.1592,1.3716
105,-0.8406,-0.8457,,0.3666,0.1638,1.3710,0.3659,0.1596,1.3712
110,-0.8406,-0.8450,,0.3666,0.1638,1.3710,0.3659,0.1597,1.3706
115,-0.8406,-0.8443,,0.3666,0.1638,1.3710,0.3659,0.1599,1.3701
120,-0.8389,-0.8434,,0.3663,0.1635,1.3688,0.3661,0.1603,1.3698
125,-0.8389,-0.8426,,0.3663,0.1635,1.3688,0.3662,0.1607,1.3695
130,-0.8382,-0.8420,,0.3670,0.1613,1.3665,0.3662,0.1610,1.3693
135,-0.8382,-0.8413,,0.3670,0.1613,1.3665,0.3663,0.1614,1.3690
140,-0.8357,-0.8407,,0.3667,0.1642,1.3666,0.3664,0.1617,1.3687
145,-0.8357,-0.8397,,0.3667,0.1642,1.3666,0.3665,0.1623,1.3684
150,-0.8357,-0.8390,,0.3667,0.1637,1.3660,0.3665,0.1628,1.3683
155,-0.8352,-0.8383,,0.3668,0.1656,1.3676,0.3665,0.1632,1.3680
160,-0.8344,-0.8375,,0.3670,0.1644,1.3657,0.3666,0.1634,1.3676
165,-0.8344,-0.8371,,0.3670,0.1644,1.3657,0.3667,0.1637,1.3675
170,-0.8337,-0.8365,,0.3676,0.1644,1.3657,0.3667,0.1640,1.3672
175,-0.8331,-0.8361,,0.3677,0.1643,1.3651,0.3668,0.1643,1.3671
180,-0.8300,-0.8355,,0.3677,0.1669,1.3647,0.3669,0.1645,1.3669
185,-0.8300,-0.8353,,0.3677,0.1669,1.3647,0.3669,0.1646,1.3668
190,-0.8300,-0.8351,,0.3677,0.1669,1.3647,0.3669,0.1647,1.3667
195,-0.8300,-0.8349,,0.3677,0.1669,1.3647,0.3670,0.1648,1.3667
200,-0.8300,-0.8343,,0.3677,0.1669,1.3647,0.3671,0.1651,1.3665
205,-0.8300,-0.8339,,0.3677,0.1669,1.3647,0.3671,0.1653,1.3664
210,-0.8300,-0.8337,,0.3677,0.1669,1.3647,0.3671,0.1655,1.3664
215,-0.8300,-0.8334,,0.3677,0.1669,1.3647,0.3672,0.1658,1.3664
220,-0.8300,-0.8332,,0.3677,0.1669,1.3647,0.3672,0.1658,1.3662
