Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
225,-0.8295,-0.8326,,0.3675,0.1681,1.3651,0.3672,0.1660,1.3658
230,-0.8295,-0.8324,,0.3675,0.1681,1.3651,0.3672,0.1661,1.3657
235,-0.8291,-0.8321,,0.3673,0.1675,1.3639,0.3672,0.1662,1.3655
240,-0.8280,-0.8316,,0.3672,0.1689,1.3641,0.3672,0.1665,1.3654
245,-0.8280,-0.8313,,0.3672,0.1689,1.3641,0.3673,0.1665,1.3651
250,-0.8280,-0.8309,,0.3672,0.1689,1.3641,0.3673,0.1668,1.3650
255,-0.8257,-0.8305,,0.3672,0.1695,1.3624,0.3674,0.1670,1.3649
260,-0.8257,-0.8300,,0.3672,0.1695,1.3624,0.3674,0.1672,1.3647
265,-0.8257,-0.8296,,0.3672,0.1695,1.3624,0.3674,0.1673,1.3644
270,-0.8257,-0.8294,,0.3672,0.1695,1.3624,0.3674,0.1674,1.3643
275,-0.8257,-0.8290,,0.3672,0.1695,1.3624,0.3674,0.1676,1.3640
280,-0.8250,-0.8284,,0.3677,0.1704,1.3632,0.3675,0.1679,1.3638
285,-0.8250,-0.8279,,0.3677,0.1704,1.3632,0.3675,0.1682,1.3636
290,-0.8250,-0.8277,,0.3677,0.1704,1.3632,0.3675,0.1684,1.3636
295,-0.8250,-0.8275,,0.3677,0.1704,1.3632,0.3675,0.1685,1.3635
300,-0.8250,-0.8270,,0.3677,0.1704,1.3632,0.3676,0.1688,1.3634
305,-0.8234,-0.8267,,0.3679,0.1707,1.3620,0.3676,0.1690,1.3632
310,-0.8233,-0.8262,,0.3679,0.1710,1.3621,0.3676,0.1692,1.3631
315,-0.8217,-0.8257,,0.3680,0.1706,1.3603,0.3677,0.1694,1.3628
320,-0.8217,-0.8255,,0.3680,0.1706,1.3603,0.3677,0.1696,1.3628
325,-0.8217,-0.8252,,0.3680,0.1706,1.3603,0.3677,0.1697,1.3627
330,-0.8217,-0.8248,,0.3680,0.1706,1.3603,0.3677,0.1699,1.3624
335,-0.8217,-0.8243,,0.3680,0.1706,1.3603,0.3678,0.1700,1.3622
340,-0.8206,-0.8236,,0.3690,0.1719,1.3615,0.3679,0.1703,1.3618
345,-0.8206,-0.8231,,0.3690,0.1719,1.3615,0.3679,0.1704,1.3615
350,-0.8181,-0.8225,,0.3684,0.1721,1.3585,0.3680,0.1706,1.3611
355,-0.8181,-0.8220,,0.3684,0.1721,1.3585,0.3681,0.1706,1.3608
360,-0.8181,-0.8216,,0.3684,0.1721,1.3585,0.3681,0.1708,1.3605
365,-0.8181,-0.8213,,0.3684,0.1721,1.3585,0.3682,0.1710,1.3605
370,-0.8181,-0.8209,,0.3684,0.1721,1.3585,0.3681,0.1711,1.3602
375,-0.8181,-0.8206,,0.3684,0.1721,1.3585,0.3681,0.1713,1.3600
380,-0.8173,-0.8202,,0.3687,0.1729,1.3589,0.3682,0.1714,1.3598
385,-0.8173,-0.8198,,0.3687,0.1729,1.3589,0.3683,0.1716,1.3597
390,-0.8170,-0.8194,,0.3686,0.1724,1.3579,0.3683,0.1718,1.3595
395,-0.8165,-0.8189,,0.3685,0.1740,1.3590,0.3683,0.1721,1.3592
400,-0.8165,-0.8185,,0.3685,0.1740,1.3590,0.3683,0.1722,1.3590
405,-0.8152,-0.8181,,0.3687,0.1727,1.3566,0.3684,0.1723,1.3588
410,-0.8152,-0.8178,,0.3687,0.1727,1.3566,0.3684,0.1724,1.3587
415,-0.8152,-0.8175,,0.3687,0.1727,1.3566,0.3685,0.1726,1.3586
420,-0.8131,-0.8170,,0.3689,0.1742,1.3562,0.3685,0.1728,1.3583
425,-0.8131,-0.8166,,0.3689,0.1742,1.3562,0.3686,0.1728,1.3580
430,-0.8131,-0.8163,,0.3689,0.1742,1.3562,0.3686,0.1729,1.3578
435,-0.8131,-0.8159,,0.3689,0.1742,1.3562,0.3687,0.1730,1.3576
440,-0.8131,-0.8157,,0.3689,0.1742,1.3562,0.3687,0.1731,1.3575
445,-0.8131,-0.8153,,0.3689,0.1742,1.3562,0.3687,0.1733,1.3574
450,-0.8131,-0.8151,,0.3689,0.1742,1.3562,0.3688,0.1734,1.3572
455,-0.8129,-0.8148,,0.3690,0.1733,1.3553,0.3688,0.1735,1.3570
460,-0.8121,-0.8144,,0.3691,0.1740,1.3551,0.3688,0.1737,1.3569
465,-0.8121,-0.8140,,0.3691,0.1740,1.3551,0.3689,0.1738,1.3567
470,-0.8120,-0.8137,,0.3690,0.1749,1.3559,0.3689,0.1739,1.3565
475,-0.8114,-0.8132,,0.3690,0.1752,1.3556,0.3690,0.1742,1.3563
480,-0.8113,-0.8128,,0.3688,0.1757,1.3559,0.3690,0.1744,1.3561
485,-0.8112,-0.8125,,0.3694,0.1750,1.3556,0.3690,0.1744,1.3559
490,-0.8096,-0.8120,,0.3693,0.1748,1.3536,0.3691,0.1745,1.3556
495,-0.8096,-0.8116,,0.3693,0.1748,1.3536,0.3691,0.1746,1.3554
500,-0.8090,-0.8111,,0.3692,0.1765,1.3547,0.3692,0.1749,1.3551
505,-0.8090,-0.8106,,0.3692,0.1765,1.3547,0.3692,0.1750,1.3549
510,-0.8086,-0.8101,,0.3694,0.1757,1.3536,0.3692,0.1755,1.3548
515,-0.8079,-0.8096,,0.3695,0.1763,1.3537,0.3692,0.1758,1.3546
520,-0.8079,-0.8094,,0.3695,0.1763,1.3537,0.3692,0.1759,1.3546
525,-0.8068,-0.8090,,0.3695,0.1766,1.3529,0.3693,0.1760,1.3543
530,-0.8068,-0.8086,,0.3695,0.1766,1.3529,0.3694,0.1761,1.3541
535,-0.8062,-0.8080,,0.3699,0.1772,1.3533,0.3694,0.1763,1.3537
540,-0.8062,-0.8075,,0.3699,0.1772,1.3533,0.3695,0.1765,1.3535
545,-0.8058,-0.8070,,0.3694,0.1766,1.3518,0.3695,0.1767,1.3532
550,-0.8048,-0.8064,,0.3698,0.1784,1.3531,0.3696,0.1770,1.3530
555,-0.8048,-0.8059,,0.3698,0.1784,1.3531,0.3696,0.1772,1.3528
560,-0.8046,-0.8054,,0.3696,0.1773,1.3516,0.3697,0.1775,1.3526
565,-0.8034,-0.8048,,0.3701,0.1782,1.3517,0.3698,0.1777,1.3524
570,-0.8030,-0.8041,,0.3702,0.1785,1.3518,0.3699,0.1779,1.3520
575,-0.8027,-0.8037,,0.3702,0.1786,1.3516,0.3700,0.1780,1.3517
580,-0.8023,-0.8032,,0.3702,0.1792,1.3517,0.3701,0.1782,1.3515
585,-0.8019,-0.8028,,0.3704,0.1789,1.3512,0.3702,0.1784,1.3514
590,-0.8011,-0.8023,,0.3705,0.1792,1.3508,0.3703,0.1786,1.3512
595,-0.8004,-0.8017,,0.3708,0.1788,1.3500,0.3704,0.1788,1.3510
600,-0.8003,-0.8013,,0.3708,0.1785,1.3496,0.3705,0.1789,1.3507
605,-0.7997,-0.8008,,0.3709,0.1788,1.3494,0.3706,0.1791,1.3505
610,-0.7994,-0.8002,,0.3707,0.1797,1.3498,0.3707,0.1791,1.3500
615,-0.7989,-0.7996,,0.3708,0.1793,1.3489,0.3708,0.1793,1.3497
620,-0.7986,-0.7992,,0.3709,0.1798,1.3493,0.3708,0.1794,1.3495
625,-0.7983,-0.7989,,0.3709,0.1792,1.3484,0.3709,0.1794,1.3492
630,-0.7981,-0.7986,,0.3708,0.1799,1.3489,0.3709,0.1796,1.3491
635,-0.7981,-0.7984,,0.3708,0.1797,1.3487,0.3709,0.1797,1.3489
640,-0.7979,-0.7982,,0.3708,0.1798,1.3485,0.3708,0.1797,1.3487
645,-0.7976,-0.7979,,0.3709,0.1799,1.3484,0.3708,0.1798,1.3486
