Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9081,-0.9705,,0.3595,0.1345,1.4021,0.3538,0.1056,1.4298
5,-0.8807,-0.9201,,0.3631,0.1493,1.3931,0.3586,0.1295,1.4082
10,-0.8807,-0.8904,,0.3631,0.1493,1.3931,0.3621,0.1433,1.3958
15,-0.8722,-0.8802,,0.3636,0.1480,1.3839,0.3628,0.1471,1.3902
20,-0.8684,-0.8728,,0.3640,0.1541,1.3865,0.3635,0.1506,1.3868
25,-0.8646,-0.8680,,0.3639,0.1521,1.3805,0.3640,0.1518,1.3838
30,-0.8603,-0.8640,,0.3646,0.1544,1.3793,0.3642,0.1539,1.3821
35,-0.8557,-0.8606,,0.3643,0.1562,1.3761,0.3647,0.1552,1.3804
40,-0.8532,-0.8576,,0.3649,0.1577,1.3758,0.3647,0.1562,1.3785
45,-0.8513,-0.8545,,0.3652,0.1591,1.3757,0.3649,0.1574,1.3767
50,-0.8476,-0.8510,,0.3656,0.1607,1.3738,0.3653,0.1588,1.3751
55,-0.8457,-0.8488,,0.3662,0.1628,1.3747,0.3656,0.1599,1.3742
60,-0.8457,-0.8475,,0.3655,0.1607,1.3718,0.3656,0.1602,1.3734
65,-0.8406,-0.8459,,0.3660,0.1630,1.3695,0.3658,0.1609,1.3726
70,-0.8402,-0.8444,,0.3665,0.1626,1.3692,0.3659,0.1615,1.3717
75,-0.8402,-0.8429,,0.3665,0.1626,1.3692,0.3660,0.1618,1.3707
80,-0.8392,-0.8419,,0.3662,0.1633,1.3687,0.3661,0.1622,1.3702
85,-0.8377,-0.8406,,0.3670,0.1631,1.3678,0.3662,0.1624,1.3692
90,-0.8377,-0.8399,,0.3670,0.1631,1.3678,0.3663,0.1626,1.3687
95,-0.8371,-0.8394,,0.3666,0.1630,1.3668,0.3663,0.1629,1.3685
100,-0.8370,-0.8389,,0.3664,0.1641,1.3674,0.3663,0.1631,1.3683
105,-0.8366,-0.8386,,0.3668,0.1627,1.3661,0.3663,0.1632,1.3680
110,-0.8363,-0.8384,,0.3664,0.1644,1.3671,0.3663,0.1633,1.3680
115,-0.8351,-0.8379,,0.3665,0.1657,1.3673,0.3664,0.1634,1.3677
120,-0.8351,-0.8377,,0.3665,0.1657,1.3673,0.3664,0.1636,1.3676
125,-0.8351,-0.8374,,0.3665,0.1657,1.3673,0.3665,0.1636,1.3675
130,-0.8351,-0.8373,,0.3665,0.1657,1.3673,0.3664,0.1638,1.3675
135,-0.8345,-0.8367,,0.3668,0.1647,1.3661,0.3665,0.1640,1.3672
140,-0.8345,-0.8365,,0.3668,0.1647,1.3661,0.3665,0.1642,1.3672
145,-0.8340,-0.8361,,0.3669,0.1661,1.3670,0.3665,0.1644,1.3670
150,-0.8335,-0.8359,,0.3670,0.1656,1.3661,0.3665,0.1646,1.3670
155,-0.8332,-0.8355,,0.3666,0.1668,1.3667,0.3665,0.1649,1.3670
160,-0.8332,-0.8350,,0.3666,0.1668,1.3667,0.3666,0.1652,1.3667
165,-0.8332,-0.8346,,0.3666,0.1668,1.3667,0.3666,0.1654,1.3666
170,-0.8329,-0.8343,,0.3662,0.1670,1.3661,0.3667,0.1655,1.3664
175,-0.8318,-0.8339,,0.3668,0.1659,1.3645,0.3667,0.1655,1.3661
180,-0.8318,-0.8337,,0.3668,0.1659,1.3645,0.3667,0.1655,1.3659
185,-0.8316,-0.8333,,0.3669,0.1674,1.3659,0.3667,0.1657,1.3658
190,-0.8316,-0.8330,,0.3669,0.1674,1.3659,0.3667,0.1659,1.3656
195,-0.8316,-0.8328,,0.3669,0.1674,1.3659,0.3667,0.1659,1.3655
200,-0.8300,-0.8326,,0.3674,0.1661,1.3635,0.3668,0.1659,1.3653
205,-0.8300,-0.8322,,0.3674,0.1661,1.3635,0.3668,0.1660,1.3650
210,-0.8296,-0.8319,,0.3672,0.1681,1.3649,0.3669,0.1662,1.3649
215,-0.8290,-0.8315,,0.3673,0.1669,1.3632,0.3669,0.1664,1.3648
220,-0.8290,-0.8313,,0.3673,0.1669,1.3632,0.3669,0.1666,1.3648
225,-0.8280,-0.8308,,0.3672,0.1680,1.3632,0.3669,0.1670,1.3647
230,-0.8280,-0.8306,,0.3672,0.1680,1.3632,0.3670,0.1670,1.3646
235,-0.8280,-0.8304,,0.3672,0.1680,1.3632,0.3670,0.1670,1.3644
240,-0.8280,-0.8303,,0.3672,0.1680,1.3632,0.3670,0.1670,1.3643
245,-0.8280,-0.8302,,0.3672,0.1680,1.3632,0.3670,0.1670,1.3643
250,-0.8276,-0.8300,,0.3675,0.1679,1.3629,0.3671,0.1671,1.3641
255,-0.8276,-0.8299,,0.3675,0.1679,1.3629,0.3671,0.1671,1.3641
260,-0.8276,-0.8296,,0.3675,0.1679,1.3629,0.3671,0.1671,1.3639
265,-0.8276,-0.8295,,0.3675,0.1679,1.3629,0.3672,0.1672,1.3638
270,-0.8267,-0.8293,,0.3675,0.1679,1.3621,0.3672,0.1673,1.3638
275,-0.8267,-0.8291,,0.3675,0.1679,1.3621,0.3672,0.1674,1.3637
280,-0.8267,-0.8290,,0.3675,0.1679,1.3621,0.3672,0.1674,1.3636
285,-0.8267,-0.8289,,0.3675,0.1679,1.3621,0.3672,0.1674,1.3635
290,-0.8267,-0.8288,,0.3675,0.1679,1.3621,0.3672,0.1674,1.3634
295,-0.8264,-0.8287,,0.3674,0.1678,1.3616,0.3672,0.1674,1.3633
300,-0.8264,-0.8286,,0.3674,0.1678,1.3616,0.3672,0.1674,1.3632
305,-0.8264,-0.8285,,0.3674,0.1678,1.3616,0.3672,0.1674,1.3632
310,-0.8264,-0.8284,,0.3674,0.1678,1.3616,0.3672,0.1674,1.3631
315,-0.8264,-0.8283,,0.3674,0.1678,1.3616,0.3673,0.1674,1.3630
320,-0.8264,-0.8283,,0.3674,0.1678,1.3616,0.3672,0.1673,1.3628
325,-0.8264,-0.8282,,0.3674,0.1678,1.3616,0.3673,0.1674,1.3629
330,-0.8264,-0.8280,,0.3674,0.1678,1.3616,0.3672,0.1675,1.3627
335,-0.8264,-0.8279,,0.3674,0.1678,1.3616,0.3673,0.1675,1.3626
340,-0.8264,-0.8278,,0.3674,0.1678,1.3616,0.3673,0.1675,1.3626
345,-0.8261,-0.8276,,0.3676,0.1675,1.3613,0.3673,0.1676,1.3625
