Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9565,-1.2349,,0.3564,0.1150,1.4279,0.3466,0.0454,1.6269
5,-0.9191,-0.9553,,0.3608,0.1346,1.4145,0.3568,0.1146,1.4267
10,-0.9024,-0.9193,,0.3614,0.1358,1.3995,0.3602,0.1319,1.4114
15,-0.8825,-0.9041,,0.3625,0.1461,1.3911,0.3615,0.1373,1.4030
20,-0.8821,-0.8938,,0.3629,0.1465,1.3915,0.3622,0.1410,1.3971
25,-0.8753,-0.8843,,0.3630,0.1491,1.3874,0.3627,0.1450,1.3920
30,-0.8702,-0.8788,,0.3639,0.1517,1.3858,0.3631,0.1469,1.3888
35,-0.8670,-0.8733,,0.3636,0.1494,1.3800,0.3635,0.1489,1.3857
40,-0.8589,-0.8685,,0.3644,0.1541,1.3774,0.3639,0.1501,1.3825
45,-0.8589,-0.8647,,0.3644,0.1541,1.3774,0.3641,0.1518,1.3807
50,-0.8511,-0.8613,,0.3653,0.1571,1.3735,0.3645,0.1535,1.3792
55,-0.8511,-0.8575,,0.3653,0.1571,1.3735,0.3647,0.1548,1.3770
60,-0.8499,-0.8557,,0.3654,0.1557,1.3710,0.3648,0.1554,1.3759
65,-0.8473,-0.8536,,0.3656,0.1586,1.3714,0.3651,0.1564,1.3751
70,-0.8447,-0.8512,,0.3659,0.1591,1.3697,0.3653,0.1572,1.3737
75,-0.8438,-0.8488,,0.3658,0.1615,1.3711,0.3656,0.1581,1.3725
80,-0.8424,-0.8468,,0.3660,0.1600,1.3684,0.3656,0.1590,1.3714
85,-0.8392,-0.8448,,0.3662,0.1610,1.3664,0.3658,0.1598,1.3704
90,-0.8385,-0.8433,,0.3665,0.1628,1.3678,0.3658,0.1605,1.3696
95,-0.8364,-0.8420,,0.3665,0.1641,1.3671,0.3660,0.1609,1.3689
100,-0.8363,-0.8407,,0.3665,0.1657,1.3685,0.3662,0.1613,1.3682
105,-0.8345,-0.8392,,0.3673,0.1633,1.3651,0.3663,0.1622,1.3677
110,-0.8336,-0.8380,,0.3669,0.1645,1.3649,0.3666,0.1627,1.3673
115,-0.8301,-0.8367,,0.3672,0.1660,1.3632,0.3667,0.1633,1.3666
120,-0.8301,-0.8353,,0.3672,0.1660,1.3632,0.3668,0.1639,1.3660
125,-0.8288,-0.8339,,0.3671,0.1676,1.3635,0.3669,0.1645,1.3653
130,-0.8288,-0.8329,,0.3671,0.1676,1.3635,0.3670,0.1649,1.3648
135,-0.8237,-0.8320,,0.3680,0.1689,1.3605,0.3670,0.1653,1.3643
140,-0.8237,-0.8311,,0.3680,0.1689,1.3605,0.3671,0.1657,1.3639
145,-0.8237,-0.8300,,0.3680,0.1689,1.3605,0.3671,0.1662,1.3633
150,-0.8237,-0.8290,,0.3680,0.1689,1.3605,0.3672,0.1666,1.3629
155,-0.8230,-0.8281,,0.3679,0.1683,1.3593,0.3673,0.1671,1.3625
160,-0.8230,-0.8275,,0.3679,0.1683,1.3593,0.3674,0.1673,1.3622
165,-0.8230,-0.8267,,0.3679,0.1683,1.3593,0.3675,0.1676,1.3619
170,-0.8230,-0.8260,,0.3679,0.1683,1.3593,0.3676,0.1679,1.3616
175,-0.8218,-0.8253,,0.3676,0.1707,1.3602,0.3677,0.1683,1.3613
180,-0.8191,-0.8246,,0.3680,0.1720,1.3590,0.3677,0.1687,1.3610
185,-0.8191,-0.8243,,0.3680,0.1720,1.3590,0.3677,0.1688,1.3608
190,-0.8191,-0.8236,,0.3680,0.1720,1.3590,0.3678,0.1693,1.3607
195,-0.8191,-0.8232,,0.3680,0.1720,1.3590,0.3678,0.1696,1.3606
200,-0.8191,-0.8228,,0.3680,0.1720,1.3590,0.3679,0.1696,1.3603
205,-0.8191,-0.8223,,0.3680,0.1720,1.3590,0.3679,0.1698,1.3600
210,-0.8185,-0.8217,,0.3680,0.1710,1.3574,0.3679,0.1700,1.3597
215,-0.8183,-0.8209,,0.3683,0.1716,1.3583,0.3680,0.1705,1.3594
220,-0.8157,-0.8200,,0.3687,0.1726,1.3570,0.3681,0.1708,1.3589
225,-0.8157,-0.8192,,0.3687,0.1726,1.3570,0.3681,0.1711,1.3585
230,-0.8148,-0.8184,,0.3686,0.1727,1.3560,0.3682,0.1714,1.3581
235,-0.8145,-0.8179,,0.3691,0.1730,1.3566,0.3683,0.1717,1.3579
240,-0.8145,-0.8173,,0.3691,0.1730,1.3566,0.3684,0.1720,1.3577
245,-0.8136,-0.8165,,0.3689,0.1734,1.3558,0.3685,0.1722,1.3573
250,-0.8136,-0.8159,,0.3689,0.1734,1.3558,0.3686,0.1724,1.3569
255,-0.8136,-0.8156,,0.3689,0.1734,1.3558,0.3686,0.1725,1.3568
260,-0.8127,-0.8150,,0.3689,0.1733,1.3548,0.3687,0.1727,1.3564
265,-0.8124,-0.8144,,0.3690,0.1739,1.3553,0.3687,0.1730,1.3562
270,-0.8116,-0.8138,,0.3690,0.1744,1.3549,0.3688,0.1733,1.3559
275,-0.8105,-0.8132,,0.3693,0.1745,1.3543,0.3688,0.1736,1.3557
280,-0.8105,-0.8128,,0.3693,0.1745,1.3543,0.3689,0.1738,1.3555
285,-0.8101,-0.8122,,0.3696,0.1746,1.3544,0.3690,0.1740,1.3552
290,-0.8090,-0.8113,,0.3693,0.1751,1.3534,0.3691,0.1744,1.3548
295,-0.8090,-0.8105,,0.3693,0.1751,1.3534,0.3692,0.1749,1.3545
300,-0.8085,-0.8098,,0.3694,0.1757,1.3536,0.3692,0.1751,1.3541
305,-0.8077,-0.8091,,0.3695,0.1755,1.3527,0.3693,0.1752,1.3537
310,-0.8071,-0.8084,,0.3695,0.1757,1.3523,0.3694,0.1755,1.3533
315,-0.8064,-0.8078,,0.3696,0.1763,1.3523,0.3694,0.1757,1.3530
320,-0.8060,-0.8071,,0.3699,0.1764,1.3523,0.3695,0.1761,1.3526
325,-0.8053,-0.8063,,0.3697,0.1771,1.3521,0.3696,0.1763,1.3522
330,-0.8042,-0.8053,,0.3698,0.1774,1.3514,0.3698,0.1768,1.3519
335,-0.8037,-0.8044,,0.3702,0.1774,1.3513,0.3699,0.1771,1.3515
340,-0.8032,-0.8038,,0.3702,0.1776,1.3510,0.3700,0.1774,1.3512
345,-0.8028,-0.8033,,0.3702,0.1776,1.3507,0.3701,0.1775,1.3509
350,-0.8025,-0.8029,,0.3703,0.1780,1.3507,0.3702,0.1777,1.3507
