Generation,BestFitness,AverageFitness,BestID
0,2.4963,2.2689,0
1,2.6622,2.3553,0
2,2.6668,2.4162,0
3,2.7470,2.5049,0
4,2.7470,2.5762,0
5,2.7836,2.6438,0
6,2.8151,2.6944,0
7,2.8763,2.7400,0
8,2.8763,2.7767,0
9,2.9249,2.8159,0
10,2.9249,2.8431,0
11,2.9818,2.8761,0
12,2.9860,2.9096,0
13,3.0219,2.9333,0
14,3.0219,2.9527,0
15,3.0564,2.9741,0
16,3.0575,2.9970,0
17,3.0753,3.0208,0
18,3.0784,3.0412,0
19,3.1077,3.0569,0
20,3.1274,3.0708,0
21,3.1583,3.0853,0
22,3.1583,3.0967,0
23,3.1634,3.1093,0
24,3.1634,3.1195,0
25,3.1895,3.1325,0
26,3.1895,3.1415,0
27,3.1895,3.1515,0
28,3.1895,3.1605,0
29,3.2227,3.1696,0
30,3.2227,3.1792,0
31,3.2227,3.1876,0
32,3.2258,3.1976,0
33,3.2279,3.2055,0
34,3.2299,3.2114,0
35,3.2393,3.2209,0
36,3.2410,3.2264,0
37,3.2623,3.2310,0
38,3.2623,3.2342,0
39,3.2645,3.2383,0
40,3.2645,3.2429,0
41,3.2645,3.2477,0
42,3.2699,3.2535,0
43,3.2699,3.2587,0
44,3.2770,3.2643,0
45,3.2876,3.2681,0
46,3.2876,3.2702,0
47,3.2876,3.2741,0
48,3.2959,3.2795,0
49,3.2963,3.2835,0
